fiscal_year,penalty_cohort,mean_err,median_err,n_hospitals
2016,chronic,1.026582554744526,1.0222,1370
2016,escaper,0.9815539149888151,0.9836,447
2017,chronic,1.0293300510576229,1.0234,1371
2017,escaper,0.9815115217391309,0.9842,460
2018,chronic,1.0277444201312926,1.0212,1371
2018,escaper,0.9849413865546215,0.989,476
2019,chronic,1.0271653818181816,1.022,1375
2019,escaper,0.9845813025210078,0.9896,476
2020,chronic,1.0273035584604233,1.0234,1377
2020,escaper,0.9824276507276508,0.9868,481
2021,chronic,1.0276305232558125,1.0234,1376
2021,escaper,0.9808927835051549,0.986,485
2022,chronic,1.025113362381989,1.0206,1377
2022,escaper,0.9812407407407407,0.9886,486
2023,chronic,1.0238250181290784,1.0189,1379
2023,escaper,0.9763154320987656,0.9877,486
2024,chronic,1.0202977552498194,1.0168,1381
2024,escaper,0.9683300411522627,0.9799,486
2025,chronic,1.0201184648805224,1.015,1381
2025,escaper,0.960161728395061,0.973,486
